"ABA","ABA 脱落酸" 
"conjugative replication","conjugative replication 接合复制"
"conjugative transposon","conjugative transposon 接合转座子"
"connetin","connetin 肌联蛋白[可与粗肌丝作用，维持肌节张力]"
"connetive tissue","connetive tissue 结缔组织"
"connetor","connetor [噬菌体]颈圈"
"connexin","connexin [间隙连接的]连接蛋白"
"connexin","connexin [间隙连接]连接蛋白"
"connexon","connexon 连接子"
"connexon","connexon 连接子"
"conotoxin","conotoxin 芋螺毒素"
"consanguineous marriage","consanguineous marriage 近亲结婚"
"consanguinity","consanguinity 近亲"
"consciousness","consciousness 意识"
"consecutive","consecutive 连串的，相连续的"
"consecutive reaction","consecutive reaction 连串反应，连续反应"
"consensus","consensus 共有区，共有序列"
"consensus motif","consensus motif 共有基序"
"consensus sequence","consensus sequence 共有序列"
"consensus sequence","consensus sequence 共有序列"
"conservation","conservation 保守；守恒"
"conservation of energy","conservation of energy 能量守恒"
"conservation of mass","conservation of mass 质量守恒"
"conservation of orbital symmetry","conservation of orbital symmetry 轨道对称性守恒"
"conservative recombination","conservative recombination 保守重组"
"conservative replacement","conservative replacement 保守（性）替换，保存性置换"
"conservative substitution","conservative substitution 保守（性）替换，保存性置换[相似的氨基酸残基之间的替换]"
"conserved","conserved 保守的"
"conserved sequence","conserved sequence 保守序列"
"consistency","consistency 稠度；一致"
"consortium","consortium 聚生体[一种以上细菌聚集在一起，具有相对固定的依存关系]"
"constant gene","constant gene C基因[为C区编码的基因]"
"constant gene segment","constant gene segment C基因区段"
"constant region","constant region [免疫球蛋白等分子的]C区，恒定区"
"constitutional heterogenity","constitutional heterogenity 组成不均一性"
"constitutional repeating unit","constitutional repeating unit 重复结构单元"
"constitutional unit","constitutional unit 结构单元"
"constitution water","constitution water 结构水"
"constitutive enzyme","constitutive enzyme 组成酶"
"constitutive expression","constitutive expression 组成型表达"
"constitutive gene","constitutive gene 组成型基因"
"constitutive heterochromatin","constitutive heterochromatin 组成性异染色质，组成型异染色质"
"constitutive heterochromatin","constitutive heterochromatin 组成性异染色质"
"constitutive mutant","constitutive mutant 组成性突变[使基因得到组成型表达的突变]"
"constitutive promoter element","constitutive promoter element 组成型启动子元件"
"constitutive secretion","constitutive secretion 固有分泌"
"constitutive secretion","constitutive secretion 固有分泌"
"constrained condition","constrained condition 约束条件"
"constraint","constraint 约束（因素），限制（因素）"
"constriction","constriction 缢缩（作用）[用于真菌学]；缢痕"
"constriction","constriction 缢痕"
"construction","construction 构建，组建"
"contact angle","contact angle 接触角"
"contact area","contact area 接触面"
"contact factor","contact factor 接触因子"
"contact guidance","contact guidance 接触导向"
"contact guidance","contact guidance 接触导向"
"contactin","contactin 接触蛋白[集中于中间神经元的接触区，属于免疫球蛋白超家族]"
"contact inhibition","contact inhibition 接触抑制"
"contact inhibition","contact inhibition 接触抑制"
"contact insecticide","contact insecticide 接触（型）杀虫剂"
"contact potential","contact potential 接触电势"
"containment","containment 防范，节制[防止重组体在实验室外复制的措施]"
"containment facility","containment facility 防范设施"
"contaminant","contaminant 污染物，杂质"
"contamination","contamination 污染，沾污"
"context effect","context effect 前后（序列）效应，邻近（序列）效应"
"contig","contig 重叠群，毗连（序列）群[一组从基因组中克隆的毗连DNA序列]"
"contiguous","contiguous 邻接的，毗连的"
"continuous annular chromatography","continuous annular chromatography 连续环形层析"
"continuous cell line","continuous cell line （连续）传代细胞系"
"continuous cell recycle reactor","continuous cell recycle reactor 连续型细胞再循环反应器"
"continuous chromatography","continuous chromatography 连续层析"
"continuous cultivation","continuous cultivation 连续培养"
"continuous culture","continuous culture 连续培养"
"continuous culture","continuous culture 连续培养物，连续培养"
"continuous development","continuous development 连续展开（法）"
"continuous epitope","continuous epitope 连续表位"
"continuous fermentation","continuous fermentation 连续发酵"
"continuous flow centrifugation","continuous flow centrifugation 连续流动离心"
"continuous flow chromatography","continuous flow chromatography 连续流动层析"
"continuous flow culture system","continuous flow culture system 连续流动培养系统"
"continuous flow culture system","continuous flow culture system 连续流动培养系统"
"continuous flow electrophoresis","continuous flow electrophoresis 连续流动电泳"
"continuous flow method","continuous flow method 连续流动法"
"continuous flow reactor","continuous flow reactor 连续流动反应器"
"continuous flow rotor","continuous flow rotor 连续流动转头"
"continuous free flow electrophoresis","continuous free flow electrophoresis 连续自由流动电泳"
"continuous gradient","continuous gradient 连续梯度"
"continuous passage","continuous passage 连续传代"
"continuous passage culture","continuous passage culture 连续传代培养（物）"
"continuous processing","continuous processing 连续工艺，连续法"
"continuous sterilization","continuous sterilization 连续灭菌"
"continuous stirred tank reactor","continuous stirred tank reactor 连续搅拌釜（式）反应器"
"continuous variation","continuous variation 连续变异"
"contour","contour 等高线，等值线；弧面，曲面；外形"
"contour map","contour map 等高线图，等值线图"
"contraception","contraception 避孕"
"contraceptive","contraceptive 避孕药"
"contractile protein","contractile protein 收缩蛋白质"
"contractile protein","contractile protein 收缩蛋白质"
"contractile ring","contractile ring 收缩环"
"contractile ring","contractile ring 收缩环"
"contractile vacuole","contractile vacuole 收缩泡
又称“伸缩泡”，见于原生动物。"
"contractile vacuole","contractile vacuole 收缩泡，伸缩泡"
"contraction","contraction 收缩"
"contraction producing factor","contraction producing factor 致缩因子"
"contraction producing factor","contraction producing factor 致缩因子"
"contracture","contracture 挛缩"
"contrast","contrast 对比度，反衬度"
"contrast character","contrast character 相对性状"
"contrast variation","contrast variation 对比（度）变换（法）"
"control","control [实验的]对照；控制，调控"
"controllable factor","controllable factor 可控因素"
"controlled deletion","controlled deletion 受控缺失"
"controlled expression","controlled expression 受控表达，可控表达"
"controlled pore glass","controlled pore glass 可控孔度玻璃"
"controlled release","controlled release 控释"
"controlled surface","controlled surface 可控表面"
"controlled surface pore glass","controlled surface pore glass 可控表面多孔玻璃"
"controlled surface porosity","controlled surface porosity 可控表面孔度"
"controlled surface porosity support","controlled surface porosity support 可控表面孔度支持体"
"controlling element","controlling element 控制元件，调控元件"
"convalescent phase serum","convalescent phase serum 恢复期血清"
"convallamarin","convallamarin 铃兰苦苷"
"convallaria cardiac glycoside","convallaria cardiac glycoside 铃兰（类）强心苷"
"convallarin","convallarin 铃兰苷"
"convective mass transfer","convective mass transfer 对流传质"
"convective transfer","convective transfer 对流传递"
"conventional mouse","conventional mouse 常规小鼠"
"convergence","convergence 会聚[用于神经系统]；趋同"
"convergent evolution","convergent evolution 趋同进化"
"convergent synthesis","convergent synthesis 汇集合成"
"conversion","conversion （基因）转变"
"cooked meat medium","cooked meat medium 庖肉培养基"
"cooling","cooling 冷却"
"cooling air","cooling air 冷却空气"
"cooling bath","cooling bath 冷却水浴"
"cooling coil","cooling coil 冷却旋管"
"cooling jacket","cooling jacket 冷却套管，冷却夹套"
"cooling system","cooling system 冷却系统"
"cooling tower","cooling tower 冷却塔"
"cooling tube","cooling tube 冷却管"
"cooling water","cooling water 冷却水"
"cooling water circulation","cooling water circulation 冷却水循环"
"Coomassie blue","Coomassie blue [商]考马斯蓝"
"Coomassie blue","Coomassie blue 考马斯蓝"
"Coomassie brilliant blue","Coomassie brilliant blue [商]考马斯亮蓝"
"cooperation","cooperation 协同（作用）"
"cooperative","cooperative 协同的"
"cooperative effect","cooperative effect 协同效应，合作效应"
"cooperative feedback inhibition","cooperative feedback inhibition 协同反馈抑制"
"cooperative site","cooperative site 协同部位，协同位点"
"cooperativity","cooperativity 协同性"
"coordinate","coordinate 坐标"
"coordinate axis","coordinate axis 坐标轴"
"coordinate bond","coordinate bond 配位键"
"coordinate regulation","coordinate regulation 协同调节"
"coordination","coordination 配位（作用）；协同（作用），协调（作用）"
"coordination agent","coordination agent 配位剂"
"coordination anion","coordination anion 配（位）阴离子"
"coordination bond","coordination bond 配位键"
"coordination catalysis","coordination catalysis 配位催化"
"coordination cation","coordination cation 配（位）阳离子"
"coordination compound","coordination compound 配位化合物，配合物"
"coordination ion","coordination ion 配离子"
"coordination isomerism","coordination isomerism 配位异构"
"coordination number","coordination number 配位数"
"coordination site","coordination site 配位点"
"coordination sphere","coordination sphere 配位层"
"copolycondensation","copolycondensation 共缩聚"
"copolymer","copolymer （二元）共聚物"
"copolymerization","copolymerization 共聚合（反应）"
"copper grid","copper grid 铜载网"
"copper protein","copper protein ""铜蛋白[共包括I,II、III型，I型即铜蓝蛋白]"""
"coprecipitation","coprecipitation 共沉淀"
"coprinin","coprinin 鬼伞菌素"
"coproporphyrin","coproporphyrin 粪卟啉"
"coproprophyrinogen","coproprophyrinogen 粪卟啉原"
"coprosterol","coprosterol 粪固醇，粪甾醇"
"copurification","copurification 共纯化"
"copy error","copy error 复制错误"
"copy number","copy number 拷贝数"
"cord factor","cord factor 索状因子[如见于白喉杆菌]"
"cordycepin","cordycepin 3'-脱氧腺苷；蛹虫草菌素"
"core","core 核心，[噬菌体]髓部"
"coreceptor","coreceptor 共同受体"
"corecognition","corecognition 共同识别"
"core DNA","core DNA 核心DNA[一般指核小体核心颗粒中146bp的DNA]"
"core enzyme","core enzyme [细菌RNA聚合酶的]核心酶"
"core glycosylation","core glycosylation 核心糖基化[发生于内质网]"
"core particle","core particle 核心颗粒[核小体消化产物，含有组蛋白八聚体及核心DNA]；核心颗粒[病毒（如乙型肝炎病毒的）亚单位]"
"corepressor","corepressor 协阻抑物，辅阻遏物"
"core promoter element","core promoter element 核心启动子元件，启动子核心元件"
"Corex tube","Corex tube Corex管[一种耐压的玻璃离心管，Corex是一种透紫外线的玻璃]"
"coriander oil","coriander oil 芫荽油"
"coriolin","coriolin 革盖菌素"
"cornea","cornea 角膜"
"cornification","cornification 角化（作用）"
"cornifin","cornifin 角质蛋白"
"corolla","corolla 花冠"
"coronavirus","coronavirus 冠状病毒"
"coronin","coronin 冠蛋白[见于细胞的表面突起]"
"corpus luteum","corpus luteum 黄体"
"corrected retention time","corrected retention time 校正保留时间"
"corrected retention volumn","corrected retention volumn 校正保留体积"
"correction","correction 校正"
"correction factor","correction factor 校正因子"
"correlated spectroscopy","correlated spectroscopy 相关光谱学"
"correlation","correlation 相关（性）"
"correlation analysis","correlation analysis 相关分析"
"correlation coefficient","correlation coefficient 相关系数"
"correlation diagram","correlation diagram 相关图"
"correlation matrix","correlation matrix 相关矩阵"
"correlation spectroscopy","correlation spectroscopy 相关光谱学，相联能谱学"
"correlation test","correlation test 相关性检验"
"correlation time","correlation time 相关时间"
"correspondence","correspondence 对应，对比"
"corresponding","corresponding 对应的，相应的"
"corrin","corrin 咕啉"
"corrosion protection","corrosion protection 防腐"
"cortex","cortex 皮质；皮层"
"cortical granule","cortical granule 皮质颗粒"
"cortical granule","cortical granule 皮质颗粒"
"corticoid","corticoid 肾上腺皮质素"
"corticoliberin","corticoliberin 促肾上腺皮质素释放素"
"corticosteroid","corticosteroid 皮质类固醇"
"corticosterone","corticosterone 皮质酮"
"corticotrophin","corticotrophin 促肾上腺皮质素"
"corticotropic hormone","corticotropic hormone 促肾上腺皮质素"
"corticotropin","corticotropin 促肾上腺皮质素"
"corticotropin releasing factor","corticotropin releasing factor 促肾上腺皮质素释放因子"
"corticotropin releasing hormone","corticotropin releasing hormone 促肾上腺皮质素释放激素"
"corticovirus","corticovirus 被盖病毒[一类噬菌体]"
"cortin","cortin 皮质素"
"cortinellin","cortinellin 香菇菌素"
"cortisol","cortisol 皮质醇"
"cortisone","cortisone 可的松，11-脱氢-17-羟皮质酮"
"cortisone hormones","cortisone hormones 可的松类激素"
"corynebacteria","corynebacteria 棒状（杆）菌"
"Corynebacteria diphtheriae","Corynebacteria diphtheriae 白喉（棒状）杆菌"
"COS cell","COS cell COS细胞"
"cosedimentation","cosedimentation 共沉降"
"cosmid","cosmid 粘粒"
"cosmid","cosmid 粘粒"
"cosmid library","cosmid library 粘粒文库[以粘粒为载体构件的文库]"
"cosmid mapping","cosmid mapping 粘粒作图[以粘粒为载体进行基因作图]"
"cosmid vector","cosmid vector 粘粒载体"
"cosmobiology","cosmobiology 宇宙生物学"
"cos site","cos site cos位点，粘性位点"
"costimulation","costimulation 共同刺激"
"cosupression","cosupression 共抑制"
"Cot curve","Cot curve Cot曲线，浓度时间（积）曲线"
"cotranscript","cotranscript 共转录物"
"cotransduction","cotransduction 共转导"
"cotransfection","cotransfection 共转染"
"cotransfection","cotransfection 共转染"
"cotransformation","cotransformation 共转化"
"cotransformation","cotransformation 共转化"
"cotranslational cleavage","cotranslational cleavage 共翻译切割"
"cotranslational glycosylation","cotranslational glycosylation 共翻译糖基化"
"cotranslational integration","cotranslational integration 共翻译整合[蛋白质边翻译边整合于内质网膜的过程]"
"cotranslational secretion","cotranslational secretion 共翻译分泌[蛋白质边翻译边通过内质网膜的过程]"
"cotranslational transfer","cotranslational transfer 共翻译转移"
"cotranslational translocation","cotranslational translocation 共翻译转运"
"cotransport","cotransport 协同转运，共转运"
"cotransporter","cotransporter 协同转运蛋白"
"Cot unit","Cot unit Cot单位，浓度时间（积）单位"
"Cot value","Cot value Cot值，浓度时间（积）值"
"cotyledon","cotyledon 子叶"
"coulometry","coulometry 库仑法"
"coumarin","coumarin 香豆素"
"counter","counter 计数器"
"countercurrent chromatography","countercurrent chromatography 反流层析，逆流层析"
"countercurrent distribution","countercurrent distribution 反流分布（法），逆流分配（法）"
"countercurrent electrophoresis","countercurrent electrophoresis 对流电泳"
"countercurrent exchange","countercurrent exchange 反流交换（机制），逆流交换（机制）[如见于尿生成]"
"countercurrent extraction","countercurrent extraction 反流提取，逆流萃取"
"countercurrent flow","countercurrent flow 反流，逆流，对流"
"countercurrent multiplication","countercurrent multiplication 反流倍增（机制），逆流倍增（机制）[如见于尿生成]"
"counter electrode","counter electrode 对电极"
"counter immunoelectrophoresis","counter immunoelectrophoresis 对流免疫电泳"
"counter ligand","counter ligand 反配体"
"counter receptor","counter receptor 反受体"
"counterselection","counterselection 反选择[筛选生长的野生型细胞而选出不生长的突变体或重组体]"
"counterstaining","counterstaining 对染（法），复染（法）[一种对比染色法]"
"counting","counting 计数"
"counting rate","counting rate 计数率"
"coupled","coupled 偶联的"
"coupled oxidation","coupled oxidation 偶联氧化"
"coupled phosphorylation","coupled phosphorylation 偶联磷酸化"
"coupled reaction","coupled reaction 偶联反应，偶合反应"
"coupling","coupling 偶联，偶合"
"coupling agent","coupling agent 偶联剂"
"coupling constant","coupling constant 偶联常数"
"coupling factor","coupling factor 偶联因子"
"coupling phase","coupling phase 互引相"
"coupling polymerization","coupling polymerization 偶联聚合"
"coupling reaction","coupling reaction 偶联反应"
"covalent bond","covalent bond 共价键"
"covalent chromatography","covalent chromatography 共价层析"
"covalent coordination bond","covalent coordination bond 共价配位键"
"covalent link","covalent link 共价键"
"covalent linkage","covalent linkage 共价键"
"covalently closed circular DNA","covalently closed circular DNA 共价闭（合）环（状）DNA"
"covalent radius","covalent radius 共价半径"
"covariation","covariation 相关变异"
"cover glass","cover glass 盖玻片"
"coverslip","coverslip 盖玻片"
"coverslip","coverslip 盖玻片"
"cowpea mosaic virus","cowpea mosaic virus 豇豆花叶病毒"
"cowpox virus","cowpox virus 牛痘病毒"
"coxsackie virus","coxsackie virus 柯萨奇病毒"
"CpG dinucleotide","CpG dinucleotide CpG二核苷酸"
"CpG island","CpG island CpG岛[基因组中富含CpG的单拷贝非甲基化基因座]"
"Crabtree effect","Crabtree effect Crabtree 效应[酵解抑制有氧氧化]"
"crassulacean acid","crassulacean acid 景天酸"
"crassulacean acid metabolism","crassulacean acid metabolism 景天酸代谢"
"crassulacean acid metabolism plant","crassulacean acid metabolism plant 景天酸代谢植物"
"creaming","creaming 乳状液分层"
"creatine","creatine 肌酸"
"creatine jubase","creatine jubase 肌酸激酶"
"creatine phosphokinase","creatine phosphokinase 肌酸磷酸激酶"
"creatinine","creatinine 肌酸酐"
"cresol","cresol 甲酚"
"cresol purple","cresol purple 甲酚紫"
"crevice","crevice 裂隙[可用于描述生物大分子的立体结构]"
"crinophagy","crinophagy 分泌自噬"
"crinophagy","crinophagy 分泌自噬"
"crista","crista 嵴"
"crista","cristae(复)
crista
cristae(复) 嵴"
"cristae","cristae （复)嵴"
"critical constant","critical constant 临界常数"
"critical dark period","critical dark period 临界暗期"
"critical dissolved oxygen concentration","critical dissolved oxygen concentration 临界溶氧浓度"
"critical energy of reaction","critical energy of reaction 反应临界能"
"critical killing dilution","critical killing dilution 临界杀菌浓度"
"critical micelle concentration","critical micelle concentration 临界胶束浓度"
"critical period","critical period 临界期"
"critical phenomenon","critical phenomenon 临界现象"
"critical plasmolysis","critical plasmolysis 临界质壁分离"
"critical-point drying method","critical-point drying method 临界点干燥法"
"critical pressure","critical pressure 临界压力"
"critical state","critical state 临界状态"
"critical temperature","critical temperature 临界温度"
"critical value","critical value 临界值"
"critical volume","critical volume 临界体积"
"crossability","crossability 杂交性"
"cross absorption","cross absorption 交叉吸收"
"cross bridge","cross bridge （肌）横桥"
"cross classification","cross classification 交叉分组"
"cross competition","cross competition 交叉竞争[例如不同的配体交叉竞争各自的受体]"
"cross complement fixation test","cross complement fixation test 交叉补体结合试验"
"crossed affinity immunoelectrophoresis","crossed affinity immunoelectrophoresis 交叉亲和免疫电泳"
"cross fertilization","cross fertilization 异体受精，异花受精"
"cross hybridization","cross hybridization 交叉杂交[不完全配对的序列相互退火]"
"cross link","cross link 交联；交联键"
"crosslinker","crosslinker 交联剂"
"crosslinking","crosslinking 交联"
"crosslinking agent","crosslinking agent 交联剂"
"crosslinking density","crosslinking density 交联密度"
"crosslinking group","crosslinking group 交联基"
"crosslinking index","crosslinking index 交联指数"
"cross matching","cross matching 交叉配血（试验）"
"cross neutralization","cross neutralization 交叉中和"
"crossover fixation","crossover fixation 交换固定"
"crossover suppressor","crossover suppressor 交换抑制因子"
"crossover unit","crossover unit 交换单位"
"crossover value","crossover value 交换值"
"cross phosphorylation","cross phosphorylation 交叉磷酸化"
"cross pollination","cross pollination 异体授粉，异花传粉"
"cross protection","cross protection 交叉保护"
"cross reaction","cross reaction 交叉反应"
"cross reactivation","cross reactivation 交叉复活"
"cross regulation","cross regulation 交叉调节，交互调节"
"cross section","cross section 截面，横切面"
"crosstalk","crosstalk 串华，通讯"
"crotapolin","crotapolin 响尾蛇毒素A crotin巴豆毒蛋白"
"crotoxin","crotoxin 响尾蛇毒素"
"crown gall","crown gall 冠瘿"
"crown gall nodule","crown gall nodule 冠瘿瘤"
"crucible","crucible 坩锅"
"cruciform","cruciform 十字形，十字形结构"
"cruciform loop","cruciform loop 十字形环[双股反向重复序列的每一股分别自我配对而形成]"
"cruciform structure","cruciform structure 十字形结构"
"crude","crude 粗的，粗制的"
"crude extract","crude extract 粗提物"
"crude product","crude product 粗制品"
"crustacyanin","crustacyanin 虾青蛋白，甲壳蓝蛋白"
"crygenics","crygenics 低温实验法"
"cryobiology","cryobiology 低温生物学"
"cryoconcentration","cryoconcentration 低温浓缩"
"cryocrystallography","cryocrystallography 低温晶体学"
"cryoelectron microscopy","cryoelectron microscopy 冷冻电（子显微）镜术"
"cryofixation","cryofixation 冷冻固定"
"cryofixation","cryofixation 冷冻固定"
"cryogen","cryogen 冷冻剂，制冷剂"
"cryogenic glove","cryogenic glove 低温防护手套"
"cryogenic purification","cryogenic purification 深低温纯化"
"cryogenic refrigerator","cryogenic refrigerator 低温冰箱"
"cryogenic separation","cryogenic separation 深低温分离"
"cryoglobulin","cryoglobulin 冷球蛋白"
"cryopreservation","cryopreservation 深低温保藏"
"cryopreservation","cryopreservation 深低温保藏（法）"
"cryoprotectant","cryoprotectant 冷冻保护剂"
"cryoprotectant","cryoprotectant 冷冻保护剂"
"cryoprotector","cryoprotector 低温防护剂，冷冻保护剂"
"cryotomy","cryotomy 冷冻切片术"
"cryoultramicrotomy","ultracryotomy
cryoultramicrotomy
ultracryotomy 冷冻超薄切片术"
"cryoultramicrotomy","cryoultramicrotomy 冷冻超薄切片术"
"cryovial","cryovial 冷冻管，冷冻小瓶"
"cryptate compound","cryptate compound 穴合物"
"cryptic mosaic","cryptic mosaic 隐蔽（同源）嵌合体"
"cryptic plasmid","cryptic plasmid 隐蔽性质粒"
"cryptic prophage","cryptic prophage 隐蔽原噬菌体"
"cryptic splice site","cryptic splice site 隐蔽剪接位点[与剪接位点序列相似但一般不发生剪接的位点]"
"cryptobiosis","cryptobiosis 隐生现象[测不出代谢活动的芽胞休眠阶段]"
"cryptogenic","cryptogenic 原因不明的"
"cryptography","cryptography 密码学"
"cryptovirus","cryptovirus 隐病毒[一组植物病毒]"
"crystal cell","crystal cell 晶胞"
"crystal defect","crystal defect 晶体缺陷"
"crystal edge","crystal edge 晶棱"
"crystal face","crystal face 晶面"
"crystal field","crystal field 晶体场"
"crystal field splitting","crystal field splitting 晶体场分裂"
"crystal field theory","crystal field theory 晶体场理论"
"crystal form","crystal form 晶形"
"crystal growth","crystal growth 晶体生长"
"crystal habit","crystal habit 晶癖"
"crystal imperfection","crystal imperfection 晶体不完整性"
"crystal lattice","crystal lattice 晶格"
"crystallin","crystallin 晶体蛋白"
"crystalline phenol","crystalline phenol 结晶酚"
"crystalline precipitate","crystalline precipitate 晶形沉淀"
"crystalline size","crystalline size 晶粒大小"
"crystalline state","crystalline state 晶态"
"crystallizable fragment","crystallizable fragment 可结晶段，Fc段"
"crystallization","crystallization 结晶（作用）"
"crystallizing dish","crystallizing dish 结晶皿"
"crystallographic data","crystallographic data 晶体学数据"
"crystallographic plane groups","crystallographic plane groups 晶体学平面群"
"crystallographic point groups","crystallographic point groups 晶体学点群[共32种]"
"crystallographic refinement","crystallographic refinement 晶体学精修"
"crystallographic shear","crystallographic shear 晶体学切变"
"crystallographic space groups","crystallographic space groups 晶体学空间群[共230种]"
"crystallographic structure","crystallographic structure 晶体结构"
"crystallographic symmetry","crystallographic symmetry 晶体学对称性"
"crystallographic texture","crystallographic texture 晶体结构"
"crystallography","crystallography 晶体学"
"crystal nucleus","crystal nucleus 晶核"
"crystal osmotic pressure","crystal osmotic pressure 晶体渗透压"
"crystal size","crystal size 晶粒大小"
"crystal structure","crystal structure 晶体结构"
"crystal system","crystal system 晶系"
"crystal twin","crystal twin 双晶crystal violet结晶紫"
"crystal violet","crystal violet 结晶紫"
"cubical symmetry","cubical symmetry 立体对称"
"cubic close packing","cubic close packing 立方密堆积"
"cubic system","cubic system 立方晶体"
"cucumber mosaic virus","cucumber mosaic virus 黄瓜花叶病毒"
"cucumopine","cucumopine 南瓜氨酸[见于毛根]"
"cucumovirus","cucumovirus 南瓜花叶病毒组"
"cucurbitin","cucurbitin 南瓜子氨酸"
"cultivar","cultivar （栽培）品种"
"cultivation","cultivation 培养"
"culture","culture 培养物，培养"
"culture cell","culture cell 培养细胞"
"culture collection","culture collection 培养物保藏"
"culture flask","culture flask 培养瓶"
"culture medium","culture media(复)
culture medium
culture media(复) 培养液
又称“培养基”。"
"culture medium","culture medium 培养基"
"culture optimization","culture optimization 培养优化"
"culture solution","culture solution 培养液"
"culture starter","culture starter （培养）起子，引子[如制造发酵食品（馒头、面包的菌体接种物]"
"culture transferring","culture transferring 移种[由原有培养物制备新鲜培养物的接种操作]"
"culture tube","culture tube 培养（试）管"
"culture vessel","culture vessel 培养瓶"
"cumulation","cumulation 累积"
"cumulative yield","cumulative yield 累积产额，累积产率"
"cup fungi","cup fungi 盘菌[一类真菌]"
"cuprein","cuprein 铜蛋白"
"curarine","curarine 箭毒碱"
"curcin","curcin 麻风树毒蛋白"
"curculin","curculin 仙茅甜蛋白"
"curd","curd 凝乳"
"curie","curie 居（里）"
"curing","curing （质粒）清除[从宿主细胞中除去质粒]；[噬菌体]自愈；固化；处理"
"curing agent","curing agent 熟化剂，硫化剂；固化剂"
"current density","current density 电流密度"
"curved DNA","curved DNA ""弯曲DNA,弯形DNA"""
"curve fitting","curve fitting 曲线拟合"
"cushion","cushion 垫层"
"custom preparation","custom preparation 委托制备"
"custom synthesis","custom synthesis 委托合成"
"cut","cut 切口"
"cuticle","cuticle 角质膜[由表皮细胞壁外表面的角质层和角化层共同组成]；角质层[由角质和蜡质共同组成]"
"cuticularization","cuticularization 角质膜形成"
"cuticular transpiration","cuticular transpiration 角质膜蒸腾"
"cutin","cutin 角质"
"cutinization","cutinization 角化作用"
"cutinized layer","cutinized layer 角化层[由角质和纤维素共同组成]"
"cutoff","cutoff 截断"
"cutoff value","cutoff value 截断值"
"cuvette","cuvette 小槽，小池[分光光度计、电穿孔仪等仪器的]样品池，吸收池"
"C value","C value C值[单倍基因组DNA的量]"
"C value paradox","C value paradox C值悖理[物种的C值和它的进化复杂性之间无严格对应关系]"
"cyanide","cyanide 氰化物"
"cyanobacteria","cyanobacteria 蓝细菌[蓝绿藻类原核生物]"
"cyanocobalamin","cyanocobalamin 氰钴氨素[即维生素B12]"
"cyanoethyl","cyanoethyl 氰乙基"
"cyanoethylation","cyanoethylation 氰乙基化"
"cyanogen bromide","cyanogen bromide 溴化氰"
"cyanogentic glycoside","cyanogentic glycoside 含氰苷"
"cyanophage","cyanophage 噬蓝（绿）藻体"
"cyanophycin","cyanophycin 藻青素，蓝藻素"
"cyanophycin granule","cyanophycin granule 藻青素颗粒，蓝藻素颗粒"
"Cyanophyta","Cyanophyta 蓝藻门"
"cyanoplast","cyanoplast 蓝质体"
"cyanopsin","cyanopsin 视蓝质，视青质"
"cyanuric chloride paper","cyanuric chloride paper 氰尿酰氯纸"
"cybrid","cytoplasmic hybrid
cybrid
cytoplasmic hybrid 胞质杂种"
"cybrid","cybrid 胞质杂种"
"cybridization","cybridization 胞质杂交"
"cyclase","cyclase 环化酶"
"cycle sequencing","cycle sequencing 循环测序法[例如用嗜热DNA聚合酶和热循环仪直接对双链DNA进行测"
"cyclic adenosine monophosphate","cyclic adenosine monophosphate 环腺苷酸"
"cyclic adenylic acid","cyclic adenylic acid 环腺苷酸"
"cyclical transcription and reverse transcription","cyclical transcription and reverse transcription 循环（式）转录（和）逆转录（反应）"
"cyclic electron transport","cyclic electron transport 循环电子传递"
"cyclic eletron flow","cyclic eletron flow 循环电子流，循环电子传递"
"cyclic guanosine monophosphate","cyclic guanosine monophosphate 环鸟苷酸"
"cyclic guanylic acid","cyclic guanylic acid 环鸟苷酸"
"cyclic nucleotide","cyclic nucleotide 环核苷酸"
"cyclic nucleotide phosphodiesterase","cyclic nucleotide phosphodiesterase 环核苷酸磷酸二酯酶"
"cyclic peptide","cyclic peptide 环肽"
"cyclic peptide synthetase","cyclic peptide synthetase 环肽合成酶"
"cyclic photophosphorylation","cyclic photophosphorylation 循环光合磷酸化"
"cyclin","cyclin 细胞周期蛋白"
"cyclin","cyclin 细胞周期蛋白"
"cycling","cycling 循环"
"cyclization","cyclization 环化"
"cyclodextrin","cyclodextrin 环（化）糊精"
"cyclohexane","cyclohexane 环己烷"
"cyclohexanediaminetetraacetic acid","cyclohexanediaminetetraacetic acid 环己二胺四乙酸"
"cycloheximide","cycloheximide 环己酰亚胺，放线（菌）酮"
"cyclohexyl","cyclohexyl 环己基"
"cyclolignan","cyclolignan 环木脂体"
"cyclolignolide","cyclolignolide 环木脂内酯"
"cyclopeptide","cyclopeptide 环肽"
"cyclopeptide alkaloid","cyclopeptide alkaloid 环肽（类）生物碱"
"cyclophilin","cyclophilin 亲环蛋白，亲环素[可与环孢菌素结合]"
"cyclophosphamide","cyclophosphamide 环磷酰胺"
"cycloserine","cycloserine 环丝氨酸"
"cycloserine enrichment","cycloserine enrichment 环丝氨酸富集（法）"
"cyclosis","cyclosis 胞质环流"
"cyclosis","cyclosis 胞质环流"
"cyclosporin","cyclosporin 环孢菌素"
"cyclotron","cyclotron 回旋加速器"
"cyclotron resonance mass spectrometer","cyclotron resonance mass spectrometer 回旋共振质谱仪"
"cylinder","cylinder 量筒，圆筒"
"cylinder plate method","cylinder plate method 杯碟法"
"cylindrical plot","cylindrical plot 圆筒图[一种表示生物大分子残基间几何关系的直观投影图]"
